Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Label
1	Spectrogram 1	1	0.000000000	1.087291569	1237.600	1429.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
2	Spectrogram 1	1	1.087291569	2.336520179	1222.800	1429.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
3	Spectrogram 1	1	2.336520179	3.215606980	1208.100	1429.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
4	Spectrogram 1	1	3.238740843	6.755088044	1436.500	1569.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	mm
5	Spectrogram 1	1	5.482725570	6.523749412	1193.400	1421.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
6	Spectrogram 1	1	6.570017138	7.495371665	1222.800	1458.600	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
7	Spectrogram 1	1	5.876001243	14.620601519	486.200	3042.400	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	gc
8	Spectrogram 1	1	19.710051415	20.566004352	1259.700	1480.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
9	Spectrogram 1	1	21.768965237	26.465139459	972.400	1642.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	mm
10	Spectrogram 1	1	30.061451722	31.206519528	1274.400	1429.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
11	Spectrogram 1	1	33.725668702	34.609006724	1281.800	1421.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
12	Spectrogram 1	1	34.641722947	35.590493415	1259.700	1421.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
13	Spectrogram 1	1	36.146669206	37.193588343	1252.300	1421.700	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
14	Spectrogram 1	1	37.586183020	38.534953488	1237.600	1429.100	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
15	Spectrogram 1	1	39.058413056	40.072615971	1244.900	1443.800	20201023_001136.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 3 (Deployed - October to December)\D2\05\20201023_001136.WAV	sc
