Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Label
1	Spectrogram 1	1	0.000000000	4.725608772	911.3	4166.4	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	mm
2	Spectrogram 1	1	6.745425424	7.774388624	1169.3	1566.3	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
3	Spectrogram 1	1	7.736278876	8.422254343	1089.9	1586.1	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
4	Spectrogram 1	1	8.574693336	9.641766284	1070.1	1486.9	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
5	Spectrogram 1	1	9.756095528	11.013717218	1109.8	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
6	Spectrogram 1	1	11.356704951	12.690546137	1149.5	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
7	Spectrogram 1	1	13.071643618	14.024387322	1109.8	1486.9	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
8	Spectrogram 1	1	14.138716567	15.053350522	1089.9	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
9	Spectrogram 1	1	15.053350522	16.120423471	1089.9	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
10	Spectrogram 1	1	16.234752715	17.900253366	1149.5	1427.3	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
11	Spectrogram 1	1	16.947509662	22.511532893	653.2	4186.3	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	mm
12	Spectrogram 1	1	23.197508360	24.226471561	1189.2	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
13	Spectrogram 1	1	24.302691057	25.484093250	1109.8	1506.7	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
14	Spectrogram 1	1	25.560312746	26.513056450	1149.5	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
15	Spectrogram 1	1	26.513056450	27.732568391	1129.6	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
16	Spectrogram 1	1	27.694458643	28.304214614	1089.9	1506.7	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
17	Spectrogram 1	1	28.418543858	30.476470259	1288.4	1685.4	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
18	Spectrogram 1	1	30.514980461	31.353394920	1189.2	1506.7	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
19	Spectrogram 1	1	31.505833913	32.611016610	1189.2	1506.7	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
20	Spectrogram 1	1	32.801565350	34.173516284	1169.3	1506.7	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
21	Spectrogram 1	1	34.325955277	35.545467218	1209.0	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
22	Spectrogram 1	1	35.659796462	36.612540166	1209.0	1467.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
23	Spectrogram 1	1	36.498210922	42.252782893	931.1	4106.9	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	mm
24	Spectrogram 1	1	43.700953323	44.958575013	1189.2	1606.0	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
25	Spectrogram 1	1	44.996684761	45.873208968	1209.0	1546.4	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
26	Spectrogram 1	1	46.259538103	47.174172059	1089.9	1566.3	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
27	Spectrogram 1	1	47.364720800	49.498866696	1367.8	1725.1	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
28	Spectrogram 1	1	49.079659467	50.108622667	1228.8	1447.2	20200928_043000.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D9\02\20200928_043000.WAV	sc
