Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	Begin Path	Label
1	Spectrogram 1	1	0.269476614	3.934358557	1002.4	1806.2	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
2	Spectrogram 1	1	8.299879696	11.264122445	1091.7	1667.3	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
3	Spectrogram 1	1	21.679145689	23.296005370	1240.5	1578.0	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
4	Spectrogram 1	1	29.170595545	32.619896198	1111.5	1647.4	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
5	Spectrogram 1	1	26.960887314	27.877107800	1220.7	1439.0	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	other
6	Spectrogram 1	1	41.464192912	42.488204043	1300.1	1468.8	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
7	Spectrogram 1	1	50.572502449	54.991918911	1151.2	1667.3	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
8	Spectrogram 1	1	70.028713945	70.944934431	1310.0	1558.1	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
9	Spectrogram 1	1	64.962553611	65.932669419	1300.1	1518.4	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
10	Spectrogram 1	1	73.531909921	78.490279609	1052.0	1587.9	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
11	Spectrogram 1	1	71.470817440	72.440933248	1151.2	1488.6	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
12	Spectrogram 1	1	90.438275835	91.408391644	1319.9	1508.5	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
13	Spectrogram 1	1	99.260172490	102.888095380	1071.8	1568.0	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
14	Spectrogram 1	1	97.481626841	98.882905231	1190.9	1448.9	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
15	Spectrogram 1	1	111.063248162	112.195049939	1260.4	1538.3	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
16	Spectrogram 1	1	103.357774565	104.381785697	1151.2	1389.4	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
17	Spectrogram 1	1	116.006238139	117.084144593	1151.2	1429.1	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
18	Spectrogram 1	1	121.771287084	125.436169028	1052.0	1647.4	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
19	Spectrogram 1	1	135.014963684	135.769498202	1240.5	1528.3	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	sc
20	Spectrogram 1	1	141.982034670	146.509241777	992.4	1558.1	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	mm
21	Spectrogram 1	1	147.735375144	148.570752646	1131.4	1448.9	20200929_032722.WAV	D:\Fauna & Flora International\VietnamAudioStorage - Root\Trung Khanh\2020 Survey\Raw Audio Files\Phase 2 (Deployed - September to October)\D1\01\01b\20200929_032722.WAV	bird
